last_name,first_name,player_age,handedness,position,mode_amateur_acquisition,division,b_total_pa,b_home_run,b_hr_rate,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,b_rbi,b_lob,b_gnd_into_dp,b_intent_walk,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,,,,
Abreu,Jose,34,R,1B,PIFA,ALC,659,30,4.552352049,21.7,9.3,0.261,0.481,0.351,0.831,0.219,117,249,28,3,10,0.252,0.457,0.354,0.349,0.347,0.205,92,10.4,31.2,10.2,9.2,49.3,66.7,17.4,32.1,46.3,27.7,35.1,41.3,23.6,47.3,25.6,21.7,,,,
Suarez,Eugenio,30,R,3B,IFA,NLC,574,31,5.400696864,29.8,9.8,0.198,0.428,0.286,0.713,0.23,79,277,14,0,5,0.215,0.455,0.306,0.326,0.302,0.24,89.1,18.3,33,15,3.8,39.8,64.3,18.9,23.2,56.4,29.5,46.3,32.4,21.2,36.3,35.7,20.4,,,,
Schoop,Jonathan,30,R,2B,IFA,ALC,674,22,3.264094955,19.7,5.5,0.278,0.435,0.32,0.755,0.157,84,225,15,0,8,0.258,0.404,0.324,0.311,0.305,0.147,88.1,10.8,30.1,6.8,4.4,40.2,71,15.7,35.2,41.6,24.7,35.9,39,25.1,48.4,20.3,21.7,,,,
Arenado,Nolan,30,R,3B,HS,NLC,653,34,5.206738132,14.7,7.7,0.255,0.494,0.312,0.807,0.239,105,276,20,8,7,0.248,0.42,0.336,0.311,0.308,0.172,89,20,34.1,6.7,6.9,37.5,67.3,10.4,29,34.7,18.5,45.8,33.3,20.8,31.3,32.7,24.8,,,,
Farmer,Kyle,31,R,SS,C,NLC,529,16,3.024574669,18.3,4.2,0.263,0.416,0.316,0.732,0.153,63,215,16,1,5,0.252,0.383,0.316,0.302,0.306,0.132,87.2,15.8,36,4.3,5.9,31.9,65.2,11.5,35.6,34.6,20,35.5,39.5,25,40.8,25.5,25.3,,,,
Haniger,Mitch,31,R,RF,C,ALW,691,39,5.643994211,24.5,7.8,0.253,0.485,0.318,0.804,0.232,100,218,12,2,8,0.262,0.498,0.34,0.354,0.329,0.236,89.3,14.8,33.6,12.6,6.5,45.1,65,20.1,29.2,50.2,29.8,44.7,35.5,19.8,43.1,29.2,19.6,,,,
Hernandez,Enrique,30,R,CF,HS,ALE,585,20,3.418803419,18.8,10.4,0.25,0.449,0.337,0.786,0.199,60,177,4,0,7,0.253,0.455,0.338,0.346,0.342,0.202,90.8,17.9,36.5,8.4,9.1,43.2,66.7,14,24.9,46.3,23.5,42.5,31.9,25.7,33.6,32.6,24.9,,,,
Muncy,Max,31,L,1B,C,NLW,592,36,6.081081081,20.3,14,0.249,0.527,0.368,0.895,0.278,94,210,7,5,1,0.272,0.583,0.379,0.408,0.388,0.311,91.2,15.2,34.9,16.1,8.2,46.6,60.3,16.8,15.7,47.9,23.4,38.9,39.4,21.7,38.6,33.1,22.8,,,,
Seager,Kyle,34,L,3B,C,ALW,670,35,5.223880597,24,8.8,0.212,0.438,0.285,0.723,0.226,101,253,7,2,4,0.222,0.454,0.308,0.32,0.295,0.232,89,19.5,35.7,12.3,7.8,40.1,72.3,20.5,29.1,49.7,29.6,43.3,33,23.8,33.4,37.7,19.7,,,,
Taylor,Michael A.,30,R,CF,HS,ALC,528,12,2.272727273,27.3,6.3,0.244,0.356,0.295,0.652,0.112,54,202,9,0,5,0.246,0.391,0.286,0.301,0.299,0.145,89.4,12.1,30.6,6.6,4.6,40.2,75.4,22.3,30.4,50.4,30.9,32.4,41.9,25.7,46.2,27.5,22.5,,,,
Yastrzemski,Mike,31,L,RF,C,NLW,532,25,4.69924812,24.6,9.6,0.224,0.457,0.31,0.767,0.233,71,201,3,4,3,0.222,0.432,0.326,0.318,0.309,0.211,89.5,19.4,33.1,10.3,7.6,39.3,67.9,18.8,23,40.9,24.2,46.3,33.1,20.5,34.3,35.8,22,,,,
Iglesias,Jose,31,R,SS,IFA,ALW,511,9,1.761252446,14.7,4.1,0.271,0.391,0.309,0.701,0.12,48,195,10,0,1,0.271,0.367,0.304,0.299,0.309,0.097,85.4,11.3,35.5,3.4,2.9,28.6,68.5,10.7,43.2,30.2,18.9,32.3,44.3,23.5,42.1,22,29.3,,,,
Bryant,Kris,29,R,3B,C,NLC,586,25,4.266211604,23,10.6,0.265,0.481,0.353,0.835,0.216,73,203,9,4,2,0.26,0.449,0.356,0.346,0.349,0.189,88.2,15.1,37.1,10.3,6.1,40,73.7,17.7,26.6,53.3,28,38.2,38.9,22.9,37.9,29.5,26.3,,,,
Canha,Mark,32,R,LF,C,ALW,625,17,2.72,20.5,12.3,0.231,0.387,0.358,0.746,0.156,61,185,9,0,2,0.231,0.378,0.333,0.332,0.358,0.147,87.3,13.5,36.1,7.1,5.9,35.4,61.5,15.4,20.7,38.6,21.5,39.7,36.4,23.9,42.2,24.4,26,,,,
Castellanos,Nick,29,R,RF,HS,NLC,585,34,5.811965812,20.7,7,0.309,0.576,0.362,0.939,0.267,100,239,16,5,6,0.293,0.535,0.391,0.374,0.35,0.241,89.8,14,44,10.6,11.5,46.9,78.8,20.2,36.3,48.4,30.6,39.2,35.8,25,38,29.1,29.3,,,,
Judge,Aaron,29,R,RF,HS,ALE,633,39,6.161137441,25,11.8,0.287,0.544,0.373,0.916,0.256,98,217,16,2,5,0.308,0.594,0.387,0.418,0.394,0.286,95.8,11.6,38.5,17.6,9.1,58.4,66.1,20.1,23.6,49.6,29.1,35.8,37.3,27,42.1,28,27.2,,,,
Machado,Manny,29,R,3B,HS,NLW,640,28,4.375,15.9,9.8,0.278,0.489,0.347,0.836,0.211,106,205,10,10,11,0.295,0.531,0.35,0.38,0.367,0.236,93.1,14,33.8,13.3,7,52.2,70.2,14.1,28.9,41.6,23,38.3,40,21.8,39.5,25.4,26.4,,,,
Realmuto,J.T.,30,R,C,HS,NLE,537,17,3.165735568,24,8.9,0.263,0.439,0.343,0.782,0.176,73,195,8,5,2,0.253,0.416,0.336,0.329,0.335,0.164,89.6,11.5,31.2,8.6,6,44.7,70,21.8,30.4,38.2,27,31.5,35.8,32.7,46.7,24.4,23.2,,,,
Renfroe,Hunter,29,R,RF,C,ALE,572,31,5.41958042,22.7,7.7,0.259,0.501,0.315,0.816,0.242,96,242,6,0,6,0.26,0.506,0.344,0.354,0.32,0.245,90.1,15.6,32.7,14.4,6.3,44.3,66.7,18.9,31.7,39.1,25.9,41.8,31.7,26.4,38.5,27,22.9,,,,
Merrifield,Whit,32,R,2B,C,ALC,720,10,1.388888889,14.3,5.6,0.277,0.395,0.317,0.711,0.117,74,224,12,1,12,0.263,0.384,0.306,0.301,0.307,0.12,86.8,13.9,40,3.5,7.2,28.8,71.3,13.9,29,28.4,18.1,34,34.2,31.8,41.7,25.8,26.7,,,,
Bogaerts,Xander,29,R,SS,IFA,ALE,603,23,3.814262023,18.7,10.3,0.295,0.493,0.37,0.863,0.198,79,236,13,2,7,0.28,0.468,0.368,0.359,0.359,0.189,89.6,12.5,36.4,9.7,5.9,43,62.4,15.6,31,33.3,22,41.6,35,23.4,40.2,23.9,28.8,,,,
Polanco,Jorge,28,S,2B,IFA,ALC,644,33,5.124223602,18.3,7,0.269,0.503,0.323,0.826,0.235,98,206,4,0,6,0.267,0.488,0.349,0.348,0.323,0.22,89.4,19.3,36.1,10.1,5.9,37.4,70.5,11.9,29.7,37.2,19.7,51.9,29.6,18.5,33,32.8,27.1,,,,
Sano,Miguel,28,R,1B,IFA,ALC,532,30,5.639097744,34.4,11.1,0.223,0.466,0.312,0.778,0.243,75,253,13,2,1,0.216,0.44,0.332,0.322,0.306,0.224,93.4,17.6,32.3,17.7,5.2,55.9,66.1,25.9,26.6,63.7,38.2,43.8,30.2,26,39.2,29.9,22.6,,,,
Duvall,Adam,33,R,RF,C,NLE,555,38,6.846846847,31.4,6.3,0.228,0.491,0.281,0.772,0.263,113,233,7,1,3,0.227,0.499,0.324,0.33,0.281,0.271,89.8,23.6,33.3,16.1,5,43.9,67.1,19.3,33.8,48,29.3,46.8,35.4,17.8,30.7,40.1,17.8,,,,
Baez,Javier,29,R,SS,HS,NLC,547,31,5.667276051,33.6,5.1,0.265,0.494,0.318,0.812,0.229,87,235,12,2,3,0.241,0.456,0.344,0.325,0.299,0.214,90.1,10.6,32.7,13.4,7.2,45.2,75.9,29.5,44.5,52.8,40.5,40.2,37.7,22.1,46.7,24.9,20.6,,,,
Lindor,Francisco,28,S,SS,HS,NLE,524,20,3.816793893,18.3,11.1,0.23,0.412,0.319,0.73,0.181,63,171,7,4,3,0.254,0.453,0.317,0.345,0.345,0.199,90.7,14.4,35.6,8.2,7.7,44.1,70.9,16.8,26,38.8,23.2,39.5,37.3,23.3,41.6,29.9,21.9,,,,
Story,Trevor,29,R,SS,HS,NLW,595,24,4.033613445,23.4,8.9,0.251,0.471,0.329,0.801,0.221,75,217,7,2,5,0.245,0.451,0.341,0.336,0.326,0.206,90.6,17.5,34.2,9.9,6.6,42.6,73.7,17.9,30.3,48.2,27.4,33.9,37.5,28.6,36.5,30.9,24.2,,,,
Candelario,Jeimer,28,S,3B,IFA,ALC,626,16,2.555910543,21.6,10.4,0.271,0.443,0.351,0.795,0.172,67,227,10,1,0,0.278,0.465,0.344,0.357,0.358,0.187,88.7,12.6,38.6,9,6.6,39.1,68.6,15.2,29.1,40.6,23.4,40.8,35.8,23.5,40.8,25.6,28.9,,,,
Bell,Josh,29,S,1B,HS,NLE,568,27,4.753521127,17.8,11.4,0.261,0.476,0.347,0.823,0.215,88,293,22,2,3,0.277,0.488,0.352,0.367,0.363,0.211,92.5,4.9,28.5,8.8,6.8,52,74,16.3,23.8,44.7,24.1,36.8,39.3,24,54.3,21.3,22,,,,
Betts,Mookie,29,R,RF,HS,NLW,550,23,4.181818182,15.6,12.4,0.264,0.487,0.367,0.854,0.223,58,152,5,2,5,0.263,0.445,0.365,0.357,0.369,0.182,90.3,18.9,34,7.8,7.5,41,63.9,10.1,18.2,38.8,16.8,45.2,32.2,22.6,34.8,33,23.6,,,,
Tapia,Raimel,27,L,LF,IFA,NLW,533,6,1.125703565,13.1,7.5,0.273,0.372,0.326,0.698,0.099,50,161,8,2,4,0.25,0.318,0.305,0.281,0.307,0.068,85.7,-4.4,19.9,2.1,1.4,31.5,69,8.8,33,27.4,14.7,26.5,41.5,32,68,12.3,16.8,,,,
Hernandez,Teoscar,29,R,RF,IFA,ALE,595,32,5.378151261,24.9,6.1,0.296,0.524,0.346,0.87,0.227,116,227,5,1,2,0.284,0.537,0.369,0.37,0.336,0.252,91.8,13.1,37.4,13.9,7.7,49,75.8,20.6,30.6,56.5,31.8,40.6,33.4,26,39.4,27.5,27.7,,,,
Turner,Trea,28,R,SS,C,NLE,646,28,4.334365325,17,6.3,0.328,0.536,0.375,0.911,0.208,77,172,18,2,4,0.304,0.485,0.386,0.364,0.355,0.181,89.6,11.4,34.6,7.4,5.3,46.2,72.3,15.4,26.5,43.4,23,36.6,37.6,25.6,45.6,23.5,24.5,,,,
Ramirez,Jose,29,S,3B,IFA,ALC,636,36,5.660377358,13.7,11.3,0.266,0.538,0.355,0.893,0.272,103,229,13,10,5,0.284,0.511,0.372,0.377,0.375,0.227,90,18.3,33.4,11.1,4.9,42.4,64.4,8.9,24.1,28.9,14.9,54.7,30.2,15.1,36.2,27,24,,,,
Gallo,Joey,28,L,RF,HS,ALW,616,38,6.168831169,34.6,18,0.199,0.458,0.351,0.808,0.259,77,221,6,5,1,0.203,0.466,0.348,0.355,0.354,0.263,91.5,22.7,29.4,18.5,3.8,45.8,64.4,30.7,18.9,64,38.8,43,34.3,22.7,36.4,35.7,15.7,,,,
Swanson,Dansby,27,R,SS,C,NLE,653,27,4.134762634,25.6,8,0.248,0.449,0.311,0.76,0.201,88,251,7,4,7,0.251,0.456,0.322,0.332,0.316,0.205,89.3,14.1,36.8,11.4,6.1,42.7,72.5,24.4,24,48.2,30.4,40.3,35.4,24.2,40.1,28.9,24.5,,,,
Newman,Kevin,28,R,SS,C,NLC,554,5,0.902527076,7.4,4.9,0.226,0.309,0.262,0.571,0.083,39,239,7,3,3,0.255,0.33,0.249,0.275,0.293,0.076,85.3,9.9,32,1.6,3.5,26,63.3,6.2,26.5,25.1,11.8,31.8,42.9,25.4,45.8,21.4,25.2,,,,
Taylor,Chris,31,R,CF,C,NLW,582,20,3.436426117,28.7,10.8,0.254,0.438,0.344,0.782,0.183,73,223,5,2,3,0.237,0.422,0.338,0.329,0.33,0.185,88.2,17.4,38.1,10.2,6.4,38.1,69.4,26,20.6,56.3,32.7,42.2,35.5,22.4,36.9,32.3,24.7,,,,
Correa,Carlos,27,R,SS,HS,ALW,640,26,4.0625,18.1,11.7,0.279,0.485,0.366,0.85,0.205,92,256,16,2,6,0.296,0.482,0.364,0.373,0.38,0.187,90.2,12.1,33.5,9.4,7.4,42.7,62,12.6,24.1,40.3,20.9,33.5,38.2,28.3,42.5,23.4,26.1,,,,
